x_value,total_1,total_2
377,1315,1209
378,1316,1207
379,1321,1208
380,1319,1204
381,1316,1202
382,1313,1202
383,1310,1202
384,1316,1206
385,1311,1211
386,1314,1210
387,1319,1213
388,1320,1215
389,1320,1217
390,1316,1214
391,1312,1219
392,1315,1219
393,1311,1220
394,1307,1225
395,1310,1221
396,1318,1216
397,1324,1215
398,1332,1217
399,1328,1216
400,1327,1211
401,1324,1214
402,1320,1217
403,1314,1217
404,1319,1222
405,1327,1220
406,1331,1217
407,1338,1219
408,1333,1214
409,1327,1219
410,1331,1214
411,1335,1219
412,1332,1217
413,1336,1221
414,1333,1222
415,1328,1219
416,1329,1223
417,1330,1219
418,1333,1225
419,1336,1227
420,1344,1229
421,1349,1228
422,1350,1226
423,1357,1222
424,1363,1226
425,1364,1225
426,1370,1227
427,1364,1230
428,1359,1231
429,1353,1232
430,1352,1237
431,1357,1243
432,1363,1242
433,1364,1248
434,1367,1243
435,1362,1249
436,1358,1248
437,1362,1247
438,1365,1250
439,1365,1250
440,1359,1248
441,1365,1243
442,1366,1245
443,1366,1242
444,1367,1239
445,1366,1245
446,1364,1251
447,1366,1249
448,1366,1244
449,1371,1244
450,1368,1244
451,1362,1245
452,1369,1244
453,1369,1249
454,1368,1248
455,1367,1246
456,1369,1249
457,1369,1246
458,1371,1244
459,1369,1248
460,1371,1243
461,1372,1240
462,1369,1236
463,1371,1238
464,1377,1242
465,1376,1248
466,1375,1247
467,1376,1243
468,1374,1249
469,1371,1251
470,1371,1252
471,1378,1253
472,1373,1256
473,1378,1251
474,1373,1246
475,1379,1247
476,1383,1247
477,1387,1249
478,1388,1253
479,1389,1254
480,1384,1249
481,1383,1249
482,1390,1252
483,1384,1253
484,1386,1253
485,1391,1259
486,1388,1264
487,1389,1264
488,1390,1259
489,1384,1256
490,1387,1260
491,1382,1260
492,1376,1259
493,1383,1263
494,1389,1260
495,1384,1266
496,1392,1263
497,1390,1258
498,1385,1261
499,1389,1262
500,1394,1264
501,1396,1268
502,1394,1263
503,1402,1268
504,1406,1269
505,1403,1269
506,1411,1269
507,1415,1266
508,1412,1268
509,1414,1272
510,1409,1271
511,1408,1271
512,1403,1268
513,1400,1266
514,1396,1262
515,1399,1265
516,1403,1265
517,1411,1264
518,1419,1269
519,1419,1269
520,1422,1270
521,1428,1272
522,1434,1269
523,1433,1271
524,1429,1272
525,1424,1268
526,1426,1265
527,1426,1264
528,1430,1268
529,1438,1264
530,1442,1263
531,1441,1267
532,1444,1269
533,1438,1267
534,1433,1262
535,1427,1267
536,1423,1263
537,1422,1263
538,1428,1266
539,1429,1272
540,1437,1272
541,1437,1272
542,1431,1276
543,1438,1282
544,1436,1283
545,1444,1289
546,1443,1291
547,1443,1287
548,1449,1287
549,1443,1286
550,1439,1291
551,1438,1293
552,1435,1292
553,1441,1294
554,1443,1299
555,1437,1301
556,1435,1296
557,1429,1301
558,1432,1307
559,1426,1313
560,1427,1317
561,1429,1318
562,1427,1316
563,1423,1314
564,1419,1316
565,1427,1315
566,1429,1316
567,1434,1319
568,1431,1324
569,1427,1326
570,1423,1326
571,1430,1331
572,1435,1329
573,1434,1326
574,1429,1322
575,1425,1328
576,1430,1333
577,1438,1337
578,1445,1338
579,1442,1342
580,1444,1346
581,1442,1348
582,1448,1351
583,1444,1357
584,1438,1353
585,1432,1356
586,1427,1351
587,1427,1355
588,1430,1359
589,1429,1360
590,1424,1357
591,1432,1359
592,1434,1354
593,1429,1351
594,1428,1356
595,1432,1355
596,1432,1359
597,1437,1356
598,1432,1360
599,1437,1361
600,1437,1358
601,1437,1355
602,1438,1354
603,1443,1354
604,1443,1355
605,1437,1353
606,1432,1353
607,1426,1350
608,1427,1350
609,1432,1355
610,1431,1360
611,1428,1366
612,1432,1364
613,1437,1367
614,1435,1363
615,1430,1366
616,1438,1369
617,1436,1365
618,1443,1369
619,1442,1371
620,1447,1374
621,1447,1380
622,1446,1384
623,1442,1380
624,1447,1375
625,1453,1379
626,1447,1378
627,1442,1382
628,1441,1379
629,1449,1377
630,1448,1373
631,1444,1379
632,1445,1384
633,1446,1382
634,1447,1383
635,1448,1385
636,1443,1385
637,1444,1382
638,1438,1384
639,1432,1385
640,1432,1386
641,1429,1384
642,1429,1380
643,1432,1378
644,1435,1374
645,1431,1373
646,1439,1371
647,1440,1367
648,1436,1366
649,1435,1370
650,1430,1375
651,1438,1377
652,1443,1381
653,1445,1376
654,1443,1381
655,1449,1378
656,1456,1373
657,1461,1372
658,1461,1367
659,1467,1372
660,1468,1370
661,1475,1373
662,1471,1372
663,1478,1370
664,1479,1369
665,1480,1365
666,1487,1371
667,1486,1372
668,1490,1377
669,1497,1375
670,1504,1370
671,1505,1375
672,1503,1371
673,1506,1377
674,1507,1382
675,1513,1380
676,1508,1386
677,1514,1386
678,1512,1392
679,1516,1393
680,1523,1394
681,1529,1399
682,1535,1398
683,1539,1397
684,1538,1401
685,1535,1402
686,1542,1408
687,1549,1411
688,1548,1406
689,1552,1403
690,1552,1405
691,1554,1400
692,1549,1406
693,1544,1406
694,1542,1411
695,1537,1413
696,1532,1411
697,1537,1409
698,1537,1409
699,1538,1410
700,1541,1406
701,1536,1402
702,1544,1406
703,1540,1404
704,1548,1406
705,1547,1408
706,1546,1412
707,1546,1411
708,1541,1406
709,1540,1408
710,1537,1412
711,1545,1414
712,1549,1409
713,1554,1407
714,1550,1408
715,1549,1406
716,1548,1401
717,1542,1403
718,1546,1406
719,1541,1402
720,1537,1402
721,1544,1402
722,1541,1398
723,1549,1397
724,1546,1403
725,1542,1400
726,1545,1396
727,1543,1401
728,1542,1399
729,1550,1396
730,1551,1396
731,1557,1395
732,1552,1394
733,1548,1396
734,1544,1396
735,1542,1394
736,1544,1392
737,1541,1393
738,1544,1395
739,1551,1397
740,1546,1395
741,1548,1399
742,1554,1395
743,1560,1394
744,1560,1395
745,1556,1397
746,1552,1393
747,1546,1388
748,1542,1394
749,1540,1395
750,1541,1392
751,1549,1388
752,1545,1388
753,1539,1387
754,1540,1392
755,1534,1395
756,1532,1394
757,1538,1391
758,1542,1388
759,1546,1390
760,1542,1392
761,1543,1387
762,1549,1384
763,1545,1388
764,1547,1392
765,1554,1389
766,1554,1388
767,1554,1392
768,1562,1393
769,1557,1396
770,1556,1392
771,1563,1392
772,1567,1392
773,1567,1387
774,1561,1382
775,1556,1377
776,1559,1381
777,1563,1386
778,1567,1390
779,1568,1391
780,1567,1387
781,1562,1387
782,1558,1391
783,1566,1392
784,1572,1394
785,1577,1391
786,1579,1396
787,1585,1394
788,1593,1400
789,1601,1399
790,1599,1394
791,1606,1392
792,1607,1391
793,1614,1391
794,1618,1391
795,1616,1393
796,1613,1399
797,1613,1405
798,1611,1409
799,1615,1413
800,1619,1418
801,1621,1413
802,1620,1411
803,1626,1409
804,1628,1404
805,1622,1406
806,1616,1409
807,1614,1412
808,1612,1409
809,1614,1409
810,1608,1408
811,1611,1412
812,1608,1407
813,1611,1410
814,1609,1414
815,1614,1409
816,1620,1408
817,1628,1413
818,1627,1408
819,1622,1405
820,1620,1402
821,1625,1400
822,1631,1406
823,1629,1411
824,1634,1410
825,1628,1407
826,1628,1410
827,1634,1411
828,1638,1416
829,1635,1421
830,1638,1425
831,1633,1429
832,1635,1424
833,1633,1429
834,1629,1431
835,1627,1431
836,1634,1432
837,1640,1435
838,1638,1434
839,1644,1435
840,1641,1432
841,1635,1427
842,1640,1432
843,1642,1437
844,1642,1434
845,1636,1436
846,1636,1442
847,1630,1445
848,1626,1450
849,1630,1452
850,1638,1457
851,1642,1452
852,1642,1455
853,1638,1455
854,1637,1456
855,1640,1454
856,1638,1459
857,1637,1457
858,1637,1460
859,1633,1462
860,1639,1461
861,1641,1459
862,1637,1462
863,1644,1466
864,1651,1464
865,1647,1469
866,1646,1468
867,1644,1464
868,1643,1466
869,1647,1468
870,1650,1466
871,1652,1468
872,1656,1473
873,1662,1472
874,1662,1470
875,1659,1468
876,1658,1464
877,1655,1469
878,1650,1472
879,1654,1478
880,1658,1479
881,1662,1481
882,1664,1480
883,1668,1475
884,1674,1475
885,1675,1474
886,1675,1476
887,1677,1482
888,1678,1480
889,1680,1479
890,1686,1477
891,1689,1475
892,1697,1470
893,1705,1469
894,1712,1473
895,1708,1477
896,1713,1478
897,1713,1484
898,1718,1479
899,1719,1478
900,1722,1482
901,1725,1487
902,1733,1491
903,1727,1489
904,1721,1489
905,1717,1492
906,1724,1489
907,1722,1493
908,1728,1495
909,1722,1495
910,1717,1500
911,1721,1498
912,1720,1502
913,1727,1498
914,1734,1504
915,1735,1507
916,1732,1508
917,1733,1507
918,1736,1513
919,1732,1511
920,1727,1516
921,1734,1516
922,1730,1514
923,1732,1517
924,1736,1523
925,1731,1527
926,1731,1532
927,1735,1530
928,1733,1528
929,1736,1534
930,1736,1530
931,1741,1530
932,1739,1531
933,1743,1533
934,1750,1533
935,1747,1539
936,1749,1538
937,1753,1541
938,1755,1540
939,1760,1537
940,1767,1538
941,1761,1534
942,1766,1540
943,1773,1544
944,1777,1548
945,1779,1546
946,1774,1545
947,1770,1543
948,1775,1541
949,1779,1542
950,1786,1546
951,1794,1541
952,1801,1537
953,1808,1533
954,1810,1535
955,1805,1531
956,1810,1530
957,1813,1534
958,1814,1537
959,1817,1536
960,1820,1535
961,1828,1539
962,1826,1544
963,1832,1544
964,1827,1540
965,1823,1546
966,1820,1547
967,1828,1545
968,1828,1550
969,1835,1546
970,1838,1543
971,1843,1548
972,1839,1544
973,1836,1544
974,1835,1543
975,1837,1547
976,1844,1545
977,1842,1540
978,1844,1540
979,1839,1544
980,1844,1541
981,1850,1547
982,1852,1544
983,1847,1539
984,1851,1537
985,1857,1540
986,1859,1545
987,1863,1551
988,1865,1547
989,1872,1550
990,1876,1546
991,1877,1552
992,1874,1547
993,1874,1543
994,1875,1549
995,1873,1550
996,1878,1549
997,1879,1545
998,1884,1542
999,1887,1546
1000,1882,1551
1001,1886,1554
1002,1886,1551
1003,1893,1555
1004,1896,1553
1005,1904,1553
1006,1900,1554
1007,1894,1553
1008,1899,1556
1009,1900,1557
1010,1898,1559
1011,1906,1555
1012,1902,1560
1013,1899,1563
1014,1895,1563
1015,1897,1558
1016,1894,1556
1017,1891,1556
1018,1897,1552
1019,1897,1550
1020,1904,1554
1021,1903,1560
1022,1897,1556
1023,1898,1551
1024,1893,1549
1025,1892,1546
1026,1899,1542
1027,1897,1539
1028,1891,1534
1029,1899,1531
1030,1897,1537
1031,1896,1534
1032,1897,1533
1033,1901,1529
1034,1909,1527
1035,1908,1527
1036,1909,1527
1037,1913,1532
1038,1908,1533
1039,1911,1529
1040,1908,1525
1041,1906,1527
1042,1902,1531
1043,1901,1537
1044,1901,1539
1045,1902,1543
1046,1903,1547
1047,1911,1549
1048,1919,1552
1049,1921,1557
1050,1920,1559
1051,1925,1555
1052,1931,1555
1053,1927,1554
1054,1934,1558
1055,1933,1561
1056,1932,1560
1057,1930,1565
1058,1936,1570
1059,1937,1566
1060,1940,1568
1061,1942,1572
1062,1949,1576
1063,1949,1574
1064,1943,1580
1065,1941,1581
1066,1944,1583
1067,1948,1586
1068,1949,1582
1069,1953,1580
1070,1961,1585
1071,1959,1587
1072,1953,1587
1073,1954,1587
1074,1957,1587
1075,1958,1585
1076,1963,1588
1077,1962,1591
1078,1966,1596
1079,1960,1600
1080,1961,1599
1081,1962,1596
1082,1962,1601
1083,1958,1599
1084,1958,1594
1085,1954,1599
1086,1949,1599
1087,1952,1597
1088,1952,1594
1089,1954,1590
1090,1961,1592
1091,1967,1592
1092,1963,1598
1093,1963,1596
1094,1966,1597
1095,1964,1603
1096,1971,1602
1097,1976,1606
1098,1971,1601
1099,1970,1598
1100,1974,1602
1101,1978,1604
1102,1981,1601
1103,1976,1605
1104,1980,1608
1105,1982,1609
1106,1986,1611
1107,1993,1609
1108,1997,1606
1109,2002,1612
1110,2010,1616
1111,2015,1620
1112,2014,1619
1113,2020,1619
1114,2018,1620
1115,2018,1619
1116,2021,1622
1117,2017,1625
1118,2012,1630
1119,2018,1627
1120,2026,1632
1121,2028,1632
1122,2032,1633
1123,2033,1629
1124,2035,1624
1125,2040,1625
1126,2042,1621
1127,2041,1621
1128,2038,1622
1129,2034,1628
1130,2039,1633
1131,2039,1629
1132,2045,1632
1133,2049,1632
1134,2057,1631
1135,2057,1635
1136,2057,1639
1137,2051,1637
1138,2047,1635
1139,2049,1633
1140,2050,1631
1141,2053,1628
1142,2058,1625
1143,2058,1628
1144,2052,1626
1145,2050,1628
1146,2049,1632
1147,2047,1631
1148,2050,1637
1149,2045,1635
1150,2045,1632
1151,2043,1628
1152,2041,1634
1153,2043,1640
1154,2038,1638
1155,2039,1641
1156,2046,1641
1157,2047,1641
1158,2042,1641
1159,2045,1638
1160,2048,1637
1161,2044,1636
1162,2050,1631
1163,2052,1632
1164,2054,1635
1165,2053,1632
1166,2050,1638
1167,2052,1633
1168,2056,1635
1169,2056,1633
1170,2054,1628
1171,2059,1632
1172,2063,1636
1173,2062,1631
1174,2063,1631
1175,2059,1631
1176,2057,1631
1177,2051,1628
1178,2051,1625
1179,2054,1627
1180,2057,1626
1181,2057,1622
1182,2064,1621
1183,2066,1616
1184,2074,1615
1185,2077,1610
1186,2073,1609
1187,2073,1610
1188,2067,1612
1189,2071,1610
1190,2071,1605
1191,2069,1608
1192,2072,1609
1193,2079,1605
1194,2085,1600
1195,2085,1596
1196,2084,1600
1197,2086,1595
1198,2091,1590
1199,2093,1593
1200,2092,1593
1201,2088,1592
1202,2096,1588
1203,2098,1591
1204,2095,1590
1205,2093,1591
1206,2096,1596
1207,2095,1600
1208,2094,1596
1209,2100,1602
1210,2101,1598
1211,2108,1603
1212,2104,1600
1213,2105,1599
1214,2113,1599
1215,2113,1605
1216,2114,1610
1217,2111,1606
1218,2113,1611
1219,2109,1609
1220,2114,1604
1221,2122,1610
1222,2124,1615
1223,2120,1619
1224,2116,1619
1225,2111,1619
1226,2116,1618
1227,2114,1623
1228,2122,1628
1229,2130,1632
1230,2138,1638
1231,2138,1640
1232,2139,1636
1233,2133,1631
1234,2139,1633
1235,2146,1639
1236,2140,1639
1237,2144,1636
1238,2150,1639
1239,2144,1637
1240,2140,1641
1241,2140,1642
1242,2141,1641
1243,2145,1639
1244,2139,1638
1245,2135,1641
1246,2136,1639
1247,2132,1637
1248,2140,1641
1249,2137,1640
1250,2144,1639
1251,2141,1643
1252,2146,1639
1253,2144,1638
1254,2152,1642
1255,2149,1639
1256,2157,1635
1257,2155,1633
1258,2154,1634
1259,2154,1629
1260,2162,1626
1261,2159,1624
1262,2167,1619
1263,2167,1618
1264,2162,1616
1265,2161,1616
1266,2164,1615
1267,2165,1611
1268,2172,1617
1269,2176,1620
1270,2176,1624
1271,2177,1622
1272,2177,1623
1273,2177,1629
1274,2178,1625
1275,2175,1620
1276,2174,1619
1277,2169,1620
1278,2164,1616
1279,2164,1616
1280,2164,1620
1281,2169,1620
1282,2173,1625
1283,2175,1631
1284,2177,1632
1285,2181,1634
1286,2175,1640
1287,2170,1645
1288,2178,1650
1289,2176,1645
1290,2174,1641
1291,2177,1647
1292,2181,1650
1293,2186,1656
1294,2190,1661
1295,2196,1663
1296,2201,1668
1297,2204,1669
1298,2200,1668
1299,2195,1670
1300,2191,1668
1301,2197,1670
1302,2200,1666
1303,2199,1672
1304,2203,1670
1305,2208,1667
1306,2204,1666
1307,2200,1669
1308,2194,1664
1309,2188,1669
1310,2195,1674
1311,2194,1672
1312,2193,1670
1313,2191,1668
1314,2195,1664
1315,2199,1662
1316,2200,1657
1317,2197,1655
1318,2199,1661
1319,2195,1658
1320,2201,1654
1321,2199,1649
1322,2198,1647
1323,2206,1647
1324,2206,1653
1325,2212,1652
1326,2216,1658
1327,2215,1659
1328,2216,1665
1329,2210,1668
1330,2208,1671
1331,2204,1668
1332,2206,1663
1333,2203,1659
1334,2210,1655
1335,2204,1654
1336,2199,1656
1337,2193,1656
1338,2199,1657
1339,2204,1660
1340,2208,1662
1341,2203,1658
1342,2211,1663
1343,2216,1668
1344,2211,1668
1345,2216,1671
1346,2216,1672
1347,2215,1671
1348,2212,1677
1349,2215,1677
1350,2212,1678
1351,2206,1680
1352,2206,1680
1353,2214,1681
1354,2222,1684
1355,2216,1690
1356,2216,1695
1357,2220,1691
1358,2215,1688
1359,2216,1691
1360,2214,1693
1361,2208,1689
1362,2211,1686
1363,2207,1683
1364,2206,1689
1365,2205,1685
1366,2209,1680
1367,2213,1677
1368,2212,1677
1369,2216,1683
1370,2224,1688
1371,2232,1687
1372,2232,1690
1373,2238,1695
1374,2235,1693
1375,2239,1695
1376,2237,1691
1377,2237,1687
1378,2239,1682
1379,2241,1681
1380,2247,1684
1381,2252,1686
1382,2246,1689
1383,2251,1691
1384,2256,1691
1385,2263,1692
1386,2266,1695
1387,2262,1691
1388,2263,1695
1389,2261,1693
1390,2258,1692
1391,2265,1692
1392,2262,1693
1393,2264,1688
1394,2267,1688
1395,2269,1683
1396,2271,1683
1397,2272,1685
1398,2271,1682
1399,2275,1686
1400,2283,1691
1401,2282,1694
1402,2284,1690
1403,2278,1695
1404,2286,1695
1405,2290,1693
1406,2298,1698
1407,2298,1696
1408,2301,1701
1409,2303,1698
1410,2309,1704
1411,2313,1708
1412,2309,1711
1413,2307,1711
1414,2304,1709
1415,2298,1707
1416,2296,1705
1417,2301,1702
1418,2304,1704
1419,2308,1700
1420,2314,1696
1421,2320,1701
1422,2327,1698
1423,2329,1700
1424,2331,1697
1425,2327,1703
1426,2331,1700
1427,2327,1698
1428,2326,1695
1429,2334,1693
1430,2341,1695
1431,2345,1693
1432,2339,1693
1433,2339,1689
1434,2343,1692
1435,2341,1690
1436,2336,1693
1437,2335,1699
1438,2338,1698
1439,2346,1694
1440,2353,1689
1441,2360,1684
1442,2364,1684
1443,2361,1684
1444,2358,1682
1445,2355,1681
1446,2362,1685
1447,2362,1691
1448,2363,1687
1449,2360,1682
1450,2364,1683
1451,2363,1680
1452,2364,1685
1453,2372,1690
1454,2371,1687
1455,2371,1688
1456,2372,1687
1457,2371,1682
1458,2374,1687
1459,2373,1686
1460,2369,1690
1461,2364,1690
1462,2363,1692
1463,2361,1693
1464,2362,1695
1465,2360,1694
1466,2365,1693
1467,2364,1692
1468,2364,1694
1469,2364,1696
1470,2359,1696
1471,2357,1697
1472,2356,1695
1473,2351,1700
1474,2347,1706
1475,2352,1712
1476,2360,1708
1477,2363,1712
1478,2358,1715
1479,2359,1719
1480,2353,1719
1481,2361,1723
1482,2361,1728
1483,2369,1725
1484,2367,1731
1485,2366,1728
1486,2368,1734
1487,2367,1734
1488,2361,1732
1489,2366,1731
1490,2371,1735
1491,2379,1740
1492,2386,1742
1493,2391,1744
1494,2387,1747
1495,2381,1752
1496,2375,1757
1497,2369,1758
1498,2372,1754
1499,2378,1753
1500,2378,1759
1501,2380,1755
1502,2383,1756
1503,2381,1759
1504,2380,1761
1505,2384,1759
1506,2390,1763
1507,2385,1765
1508,2391,1767
1509,2388,1767
1510,2390,1766
1511,2393,1770
1512,2387,1770
1513,2394,1774
1514,2397,1777
1515,2397,1775
1516,2405,1770
1517,2401,1772
1518,2408,1770
1519,2405,1771
1520,2402,1776
1521,2400,1772
1522,2405,1778
1523,2413,1780
1524,2419,1776
1525,2422,1782
1526,2429,1784
1527,2430,1783
1528,2429,1781
1529,2432,1783
1530,2437,1782
1531,2437,1784
1532,2431,1781
1533,2434,1781
1534,2434,1776
1535,2437,1780
1536,2435,1781
1537,2430,1778
1538,2427,1774
1539,2424,1779
1540,2419,1782
1541,2415,1779
1542,2409,1775
1543,2413,1770
1544,2421,1769
1545,2426,1766
1546,2432,1764
1547,2429,1768
1548,2437,1771
1549,2439,1771
1550,2440,1776
1551,2443,1774
1552,2444,1772
1553,2452,1770
1554,2454,1773
1555,2452,1778
1556,2449,1774
1557,2455,1772
1558,2458,1774
1559,2455,1772
1560,2458,1773
1561,2461,1778
1562,2455,1783
1563,2452,1780
1564,2452,1786
1565,2453,1786
1566,2457,1783
1567,2465,1783
1568,2472,1780
1569,2474,1781
1570,2482,1787
1571,2478,1784
1572,2477,1779
1573,2480,1780
1574,2479,1776
1575,2486,1774
1576,2484,1774
1577,2487,1775
1578,2489,1774
1579,2493,1778
1580,2499,1784
1581,2506,1786
1582,2501,1790
1583,2508,1792
1584,2508,1795
1585,2511,1796
1586,2519,1799
1587,2522,1800
1588,2517,1799
1589,2519,1799
1590,2522,1804
1591,2526,1801
1592,2523,1807
1593,2523,1810
1594,2522,1816
1595,2526,1812
1596,2522,1810
1597,2518,1813
1598,2512,1817
1599,2508,1812
1600,2507,1807
1601,2504,1809
1602,2510,1815
1603,2505,1816
1604,2509,1816
1605,2509,1819
1606,2508,1814
1607,2503,1810
1608,2507,1809
1609,2514,1812
1610,2521,1818
1611,2515,1813
1612,2521,1817
1613,2518,1820
1614,2516,1818
1615,2519,1823
1616,2526,1825
1617,2530,1825
1618,2530,1831
1619,2530,1831
1620,2530,1834
1621,2534,1830
1622,2533,1830
1623,2529,1835
1624,2537,1837
1625,2545,1839
1626,2540,1835
1627,2544,1831
1628,2551,1834
1629,2554,1833
1630,2549,1834
1631,2556,1833
1632,2556,1829
1633,2556,1834
1634,2564,1834
1635,2565,1829
1636,2569,1829
1637,2569,1830
1638,2571,1836
1639,2565,1841
1640,2567,1845
1641,2567,1851
1642,2565,1856
1643,2572,1853
1644,2572,1850
1645,2567,1846
1646,2561,1844
1647,2562,1841
1648,2559,1836
1649,2562,1836
1650,2570,1831
1651,2574,1833
1652,2569,1834
1653,2567,1838
1654,2571,1835
1655,2570,1833
1656,2573,1830
1657,2567,1835
1658,2573,1841
1659,2576,1841
1660,2582,1844
1661,2578,1839
1662,2583,1841
1663,2591,1841
1664,2595,1842
